"Order","Family","Genus","Species","spawningMode","FemaleSize_mm","sizeType","eggSize_mm","typeOfWork_eggSize","timeToEggMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnSize","lnEggSize","absLatitude"
"Clupeiformes","Clupeidae","Sardina","Sardina pilchardus","pelagic",NA,"",1.56,"",NA,"Saronikos Gulf, Greece","1984 October 29","",TRUE,FALSE,37.870667,23.619735,"daoulas_ch_1986_j28_449.pdf",NA,0.444685821261446,37.870667
"Clupeiformes","Clupeidae","Sardina","Sardina pilchardus","pelagic",NA,"",1.627,"",NA,"Saronikos Gulf, Greece","1984 November 13","",TRUE,FALSE,37.870667,23.619735,"daoulas_ch_1986_j28_449.pdf",NA,0.486737828236901,37.870667
"Clupeiformes","Clupeidae","Sardina","Sardina pilchardus","pelagic",NA,"",1.645,"",NA,"Saronikos Gulf, Greece","1984 December 20","",TRUE,FALSE,37.870667,23.619735,"daoulas_ch_1986_j28_449.pdf",NA,0.497740384217335,37.870667
"Clupeiformes","Clupeidae","Sardina","Sardina pilchardus","pelagic",NA,"",1.632,"",NA,"Saronikos Gulf, Greece","1985 January 23","",TRUE,FALSE,37.870667,23.619735,"daoulas_ch_1986_j28_449.pdf",NA,0.489806256541915,37.870667
"Clupeiformes","Clupeidae","Sardina","Sardina pilchardus","pelagic",NA,"",1.657,"",NA,"Saronikos Gulf, Greece","1985 March 4","",TRUE,FALSE,37.870667,23.619735,"daoulas_ch_1986_j28_449.pdf",NA,0.505008738444426,37.870667
"Clupeiformes","Clupeidae","Sardina","Sardina pilchardus","pelagic",NA,"",1.694,"",NA,"Saronikos Gulf, Greece","1985 April 30","",TRUE,FALSE,37.870667,23.619735,"daoulas_ch_1986_j28_449.pdf",NA,0.527092596229863,37.870667
"Clupeiformes","Clupeidae","Sardinops","Sardinops sagax","pelagic",NA,"",1.6,"",NA,"Monterey Bay, California, United States","1929-1932","",TRUE,TRUE,36.811606,-121.84771,"scofield_ec_1934_c41_1.pdf",NA,0.470003629245736,36.811606
"Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","pelagic",NA,"",0.98,"",NA,"South-west coast of the Isle of Man","1993 April","",TRUE,FALSE,54.090349,-4.802769,"bal_dv_1943_j11b_54.pdf",NA,-0.0202027073175195,54.090349
"Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","pelagic",NA,"",0.95,"",NA,"South-west coast of the Isle of Man","1993 May","",TRUE,FALSE,54.090349,-4.802769,"bal_dv_1943_j11b_54.pdf",NA,-0.0512932943875506,54.090349
"Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","pelagic",NA,"",0.91,"",NA,"South-west coast of the Isle of Man","1993 June","",TRUE,FALSE,54.090349,-4.802769,"bal_dv_1943_j11b_54.pdf",NA,-0.0943106794712413,54.090349
